alt_text,trip,location,time,path,small_path
Sausalito,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_13-06-44_045_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_13-06-44_045_small_60.jpg
,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_07-16-53_858_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_07-16-53_858_small_60.jpg
Santa Monica,California-2023,California,2023-12-25,./assets/img/gallery/california-2023-Dec/2023-12-25_20-13-18_779_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-25_20-13-18_779_small_60.jpg
Disney Land,California-2023,California,2023-12-23,./assets/img/gallery/california-2023-Dec/2023-12-23_17-55-37_294_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-23_17-55-37_294_small_60.jpg
Disney Land,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_17-30-58_129_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_17-30-58_129_small_60.jpg
California,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_12-35-37_721_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_12-35-37_721_small_60.jpg
Badwater Basin,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_17-33-40_877_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_17-33-40_877_small_60.jpeg
Disney Dining with Mickey,California-2023,California,2023-12-24,./assets/img/gallery/california-2023-Dec/2023-12-24_08-48-37_091_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-24_08-48-37_091_small_60.jpeg
GoldenGate Park,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_10-00-54_940_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_10-00-54_940_small_60.jpg
Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_16-46-33_461_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_16-46-33_461_small_60.jpg
Art in Las Vegas,California-2023,California,2023-12-19,./assets/img/gallery/california-2023-Dec/2023-12-19_18-55-08_838_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-19_18-55-08_838_small_60.jpeg
Middle of no where California,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_13-08-04_847_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_13-08-04_847_small_60.jpg
Middle of no where California,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_13-09-05_522_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_13-09-05_522_small_60.jpg
Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_14-25-15_740_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_14-25-15_740_small_60.jpg
Sand dunes in Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_19-45-50_437_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_19-45-50_437_small_60.jpeg
Camel By The Sea,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_17-30-49_659_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_17-30-49_659_small_60.jpg
Santa Monica,California-2023,California,2023-12-25,./assets/img/gallery/california-2023-Dec/2023-12-25_20-18-10_991_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-25_20-18-10_991_small_60.jpg
Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_14-35-17_732_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_14-35-17_732_small_60.jpg
San Francisco,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_14-30-55_550_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_14-30-55_550_small_60.jpg
Disney Land,California-2023,California,2023-12-23,./assets/img/gallery/california-2023-Dec/2023-12-23_17-26-22_207_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-23_17-26-22_207_small_60.jpeg
Solvang,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_12-10-45_971_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_12-10-45_971_small_60.jpg
Death Valley Park,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_15-52-16_862_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_15-52-16_862_small_60.jpg
Santa Barbara,California-2023,California,2023-12-16,./assets/img/gallery/california-2023-Dec/2023-12-16_09-09-29_288_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-16_09-09-29_288_small_60.jpg
Omnia Club in Vegas,California-2023,California,2023-12-20,./assets/img/gallery/california-2023-Dec/2023-12-20_01-04-52_084_small.jpeg,./assets/img_small/gallery/california-2023-Dec/2023-12-20_01-04-52_084_small_60.jpeg
Waterfall in Yosemite Park,California-2023,California,2023-12-18,./assets/img/gallery/california-2023-Dec/2023-12-18_13-11-56_939_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-18_13-11-56_939_small_60.jpg
San Francisco river,California-2023,California,2023-12-17,./assets/img/gallery/california-2023-Dec/2023-12-17_13-34-06_824_small.jpg,./assets/img_small/gallery/california-2023-Dec/2023-12-17_13-34-06_824_small_60.jpg
